index: 0, SR: 0.06
index: 1, SR: 0.19
index: 2, SR: 0.98
index: 3, SR: 0.59
index: 4, SR: 1.0
index: 5, SR: 1.0
index: 6, SR: 0.95
index: 7, SR: 0.93
index: 8, SR: 1.0
index: 9, SR: 0.87
index: 10, SR: 1.0
index: 11, SR: 0.99
index: 12, SR: 1.0
index: 13, SR: 1.0
index: 14, SR: 1.0
index: 15, SR: 0.99
index: 16, SR: 1.0
index: 17, SR: 1.0
index: 18, SR: 0.99
index: 19, SR: 0.22
index: 20, SR: 0.63
index: 21, SR: 1.0
index: 22, SR: 0.99
index: 23, SR: 1.0
index: 24, SR: 1.0
index: 25, SR: 1.0
index: 26, SR: 1.0
index: 27, SR: 1.0
index: 28, SR: 1.0
index: 29, SR: 1.0
index: 30, SR: 1.0
index: 31, SR: 0.99
index: 32, SR: 1.0
index: 33, SR: 1.0
index: 34, SR: 1.0
index: 35, SR: 1.0
index: 36, SR: 1.0
index: 37, SR: 1.0
index: 38, SR: 1.0
index: 39, SR: 1.0
index: 40, SR: 1.0
index: 41, SR: 1.0
index: 42, SR: 0.97
index: 43, SR: 1.0
index: 44, SR: 1.0
index: 45, SR: 0.96
index: 46, SR: 1.0
index: 47, SR: 0.77
index: 48, SR: 0.88
index: 49, SR: 1.0
index: 50, SR: 1.0
index: 51, SR: 1.0
index: 52, SR: 0.97
index: 53, SR: 1.0
index: 54, SR: 1.0
index: 55, SR: 0.86
index: 56, SR: 0.55
index: 57, SR: 1.0
index: 58, SR: 1.0
index: 59, SR: 1.0
index: 60, SR: 0.86
index: 61, SR: 1.0
index: 62, SR: 1.0
index: 63, SR: 1.0
index: 64, SR: 1.0
index: 65, SR: 1.0
index: 66, SR: 1.0
index: 67, SR: 0.99
index: 68, SR: 1.0
index: 69, SR: 1.0
index: 70, SR: 1.0
index: 71, SR: 1.0
index: 72, SR: 1.0
index: 73, SR: 0.97
index: 74, SR: 0.99
index: 75, SR: 0.87
index: 76, SR: 0.84
index: 77, SR: 0.53
index: 78, SR: 0.96
index: 79, SR: 0.86
index: 80, SR: 1.0
index: 81, SR: 0.81
index: 82, SR: 0.69
index: 83, SR: 1.0
index: 84, SR: 0.9
index: 85, SR: 1.0
