index: 0, attacked_pos: [0.5749, -0.046], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4422, 0.0177], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4844, 0.0233], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4962, -0.0025], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5606, -0.025], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4777, -0.0021], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4781, -0.019], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4781, -0.039], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4965, -0.0036], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5151, -0.0115], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5, -0.0246], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5031, -0.0281], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5219, -0.0142], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5125, -0.0373], ori_reward: 0.0, rewards: tensor(1.)
index: 0, attacked_pos: [0.5156, -0.0614], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5094, -0.0897], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4438, -0.1031], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4439, -0.0275], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.0438], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4563, -0.0677], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4531, -0.0962], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4323, -0.1339], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4329, -0.1324], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4915, -0.1425], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4981, -0.1401], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.498, -0.1397], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.4979, -0.1394], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5493, -0.1219], ori_reward: 0.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.5879, -0.0594], ori_reward: 1.0, rewards: tensor(0.)
index: 0, attacked_pos: [0.55, -0.0457], ori_reward: 0.0, rewards: tensor(0.)
